# file=UPS 335 단독_V6.4_작화 데이터 정리(20140228).xls sheet=사용중인 전체 메모리번지 정리(최종) rows=367
0	터치 사용번지					설명	동작
1	LB0	LB	0			[축전지 셀 설정] 매크로 실행-335보드 매크로 미사용	[축전지 셀 설정]매크로 실행 시 MW20의 값이 25나 90이 아닌경우, RW20번지 값을 참조하여 페이지 이동한다. 이때 MW20 및 RW20번지 값이 모두 25나 90이 아닌 경우, 직접화면 호출 기능으로 셀 설정 창을 팝업한다.
2	LB1	LB	1			회사소개 램프	홈페이지 및 주요품목 텍스트 표시 램프
3	LB2	LB	2			[Delay 화면열기]매크로 실행(미사용)	시스템 운전 시 약 1초 정도 딜레이 후 해당 화면으로 이동하도록 매크로 실행.(미사용)
4	LB3	LB	3			계측값 이득 설정 비밀번호 변경 버튼 숨기기	LB3이 ON 되면[계측값 이득 설정 비밀번호 변경] 버튼이 보임.
5	LB5	LB	5			V5.9 [축전지 충방전 전류 최대값] 매크로	축전지 충방전 전류 최대값 자동계산 매크로
6	LB10	LB	10			[modbus] 매크로 실행-단독보드 병렬 외부통신	0.5초 주기로 RS485 모드버스 서버용 데이터(MW->LW)저장
7	LB11	LB	11			[Modbus command]매크로 실행-단독보드 병렬 외부통신	0.5초 주기로 RS485 모드버스로 명령어 수행(충전기 운전/정지, 인버터 운전/정지, 부저 on/off)
8	LB30	LB	30			[계측이득 초기화] 매크로 실행-V5.7이후 버전 미사용	[예]를 누르면 ON되어 매크로 실행
9	LB101	LB	101			비밀번호 오류 메시지 활성화 비트	ON되면 비밀번호 오류 메시지 출력(Direct window를 이용해서 46페이지로 이동)
10	LB102	LB	102			비밀번호 오류 메시지	ON되면 비밀번호 오류 메시지 출력(Direct window를 이용해서 54 페이지 출력)
11	LB200	LB	200			[시스템 운전 비밀번호] 매크로 실행-V5.7이후 버전 미사용	ON 되면 시스템 운전 비밀번호를 확인하는 매크로 실행
12	LB201	LB	201			[비밀번호 변경] 매크로 실행	입력한 비밀번호(LW500의 값)를 새로운 시스템 운전용 비밀번호로 설정한다.(RW500에 저장)
13	LB202	LB	202			[계측이득 설정 비밀번호]매크로 실행-V5.7이후 버전 미사용	ON 되면 <SYS_OPT_PW> 매크로를 실행
14	LB203	LB	203			[계측이득 설정 비밀번호 변경]매크로 실행-V5.7이후 버전 미사용	ON 되면 <계측이득 설정 비밀번호 변경> 매크로를 실행
15	LB300	LB	300			[절전모드 제한 시간 설정] 매크로 실행	[확인]을 누르면 LW15에 입력된 절전모드 설정값을 LW9080번지에 저장
16	LB302	LB	302			HMI 절전모드 설정 표시 램프	0:절전모드 해지 1: 절전모드 설정 표시
17	LB9019	LB	9019			터치 부저 ON/OFF 결정(시스템파라메터)	0: 부저 꺼짐, 1: 부저 켜짐
18	LB9020	LB	9020			시스템 설정바  버튼 온/오프(시스템파라메터)	터치화면 하단의 시스템 설정바 버튼을 ON/OFF
19	LB9023	LB	9023			이벤트 이력 삭제(시스템파라메터)	1: 모든 이벤트 로그파일 삭제
20	LB9029	LB	9029			레시피 데이터 저장(시스템파라메터)	레시피 데이터(RW)를 HMI 내부에 저장
21	LW10	LW	10			명령 실행시 로딩 표시	0~7까지 0.6초간격으로 1씩 증가시켜  로딩 상태 표시(공통사용)
22	LW11	LW	11			충전기 운전/정지 실행시 로딩 표시	0~7까지 0.6초간격으로 1씩 증가시켜  로딩 상태 표시
23	LW12	LW	12			인버터 운전/정지 실행시 로딩 표시	0~7까지 0.6초간격으로 1씩 증가시켜  로딩 상태 표시
24	LW13	LW	13			절환명령 실행시 로딩 표시	0~7까지 0.6초간격으로 1씩 증가시켜  로딩 상태 표시
25	LW15	LW	15			절전 시간 설정값 입력	절전모드 제한 시간을 변경 설정: 1-225분
26	LW20	LW	20			Change Window (미사용)	화면 열릴때 와 닫힐때 현재 페이지 및 이동할 페이지 번호 입력
27	LW30	LW	30			그래픽 흐름표시(충전화면)	0.1초 간격으로  0-31까지 값을 증가시켜 그래픽 흐름표현
28	LW31	LW	31			그래픽 흐름표시(방전화면)	0.1초 간격으로  0-31까지 값을 증가시켜 그래픽 흐름표현
29	LW40	LW	40			현재 축전지 백업 시간(미사용)	현재 축전지 백업시간(축전지 DC 전압을 읽어서 계산한 값 표시)
30	LW100	LW	100			비밀번호 입력(미사용)	사용자가 비밀번호를 입력
31	LW101	LW	101			페이지 이동(Change Window)
32	LW200	LW	200			이벤트 디스플레이	이벤트 디스플레이 창에 이벤트 1000개까지 표시.(테스트 결과 이벤트 1개당 약 34바이트 소요됨) | (LW200이 0: 오늘 날짜 파일 1씩 늘어날수록 이전 파일) 터치내부에 이벤트를 최대 32M저장
33	LW500	LW	500			새로운 시스템 운전용 비밀번호 입력 (미사용)	변경하고자 하는 시스템 운전용 비밀번호를 입력
34	LW501	LW	501			새로운 [계측값이득 설정] 비밀번호 (미사용)	변경하고자 하는 [계측값 이득 설정]용 비밀번호를 입력
35	LW700	LW	700			문의사항 그림이동 상태	문의사항 그림이동 상태 (그래픽 충전모드)
36	LW701	LW	701			문의사항 그림이동 X좌표	문의사항 그림이동 X좌표 (그래픽 충전모드)
37	LW702	LW	702			문의사항 그림이동 Y좌표	문의사항 그림이동 Y좌표 (그래픽 충전모드)
38	LW703	LW	703			문의사항 그림이동 상태	문의사항 그림이동 상태 (그래픽 방전모드)
39	LW704	LW	704			문의사항 그림이동 X좌표	문의사항 그림이동 X좌표(그래픽 방전모드)
40	LW705	LW	705			문의사항 그림이동 Y좌표	문의사항 그림이동 Y좌표(그래픽 방전모드)
41	LW1000 | ~LW1060					터치 RS485 모드버스 서버 데이터 번지	터치 모드버스 서버용 데이터(MW->LW) 저장
42	LW9010	LW	9010			초(시스템 내부용)	Real Time Clock  초표시
43	LW9011	LW	9011			분(시스템 내부용)	Real Time Clock  분 표시
44	LW9012	LW	9012			시(시스템 내부용)	Real Time Clock  시 표시
45	LW9013	LW	9013			일(시스템 내부용)	Real Time Clock 날짜 표시
46	LW9014	LW	9014			월(시스템 내부용)	Real Time Clock  월 표시
47	LW9015	LW	9015			년(시스템 내부용)	Real Time Clock  년 표시
48	LW9080	LW	9080			Back Light Saver(시스템파라메터)	0:Disable, 1~255:분 단위로 설정-->설정한 시간 내에 터치사용이 없으면 백라이트가 꺼진다.
49	LW9134	LW	9134			언어설정(시스템파라메터)	0: 영어, 1: 한국어
50	LW9150	LW	9150			키보드 입력 데이터(ASCII)	키보드 입력 데이터(ASCII)-32워드
51	RW1	RW	1			리모트-회사명	리모트 작화의 회사명 매크로에 사용
52	RW2	RW	2			리모트-축전지 부동전압	리모트 작화의 축전지 충방전 전류 최대값 자동계산 매크로에 사용-v6.4 리모트 미사용
53	RW3	RW	3			리모트-ups 용량	리모트 작화의 축전지 충방전 전류 최대값 자동계산 매크로에 사용-v6.4 리모트 미사용
54	RW10	RW	10			ver5.9 축전지 방전전류 표시 알람  하한값 제한	ver5.9 축전지 방전전류 표시 알람  하한값 제한
55	RW11	RW	11			ver5.9 축전지 방전전류 표시 알람 상한값 제한 	ver5.9 축전지 방전전류 표시 알람 상한값 제한 
56	RW12	RW	12			ver5.9 축전지 방전전류 표시 최소값 	ver5.9 축전지 방전전류 표시 최소값 
57	RW13	RW	13			ver5.9 축전지 방전전류 표시 최대값 	ver5.9 축전지 방전전류 표시 최대값 
58	RW14	RW	14			ver5.9 축전지 충전전류 표시 알람  하한값 제한	ver5.9 축전지 충전전류 표시 알람  하한값 제한
59	RW15	RW	15			ver5.9 축전지 충전전류 표시 알람 상한값 제한 	ver5.9 축전지 충전전류 표시 알람 상한값 제한 
60	RW16	RW	16			ver5.9 축전지 충전전류 표시 최소값 	ver5.9 축전지 충전전류 표시 최소값 
61	RW17	RW	17			ver5.9 축전지 충전전류 표시 최대값 	ver5.9 축전지 충전전류 표시 최대값 
63	RW20	RW	20			가스공사 정류기 전류용량 설정	가스공사 정류기 전류용량 설정
64	RW21	RW	21			FAN_DATE 레시피 저장	FAN 점검 팝업 일
65	RW22	RW	22			FAN_MONTH 레시피 저장	FAN 점검 팝업 월
66	RW23	RW	23			FAN_YEAR 레시피 저장	FAN 점검 팝업 년도
67	RW24	RW	24			BAT_DATE 레시피 저장	축전지 NFB 고장 메시지 팝업 일
68	RW25	RW	25			BAT_MONTH 레시피 저장	축전지 NFB 고장 메시지 팝업 월
69	RW26	RW	26			BAT_YEAR 레시피 저장	축전지 NFB 고장 메시지 팝업 년도
